datetime_local,water_temp_degC,do_mgL,batt_volt
2019-10-09 18:15:00,22.61,11.01,3.20
2019-10-09 18:16:00,22.61,11.03,3.20
2019-10-09 18:17:00,22.61,11.00,3.20
2019-10-09 18:18:00,22.64,10.99,3.20
2019-10-09 18:19:00,22.62,11.03,3.20
2019-10-09 18:20:00,22.60,11.06,3.20
2019-10-09 18:21:00,22.60,11.04,3.20
2019-10-09 18:22:00,22.60,11.05,3.20
2019-10-09 18:23:00,22.61,11.06,3.20
2019-10-09 18:24:00,22.60,11.05,3.20
2019-10-09 18:25:00,22.59,11.06,3.20
2019-10-09 18:26:00,22.59,11.05,3.20
2019-10-09 18:27:00,22.57,11.02,3.20
2019-10-09 18:28:00,22.54,11.05,3.20
2019-10-09 18:29:00,22.60,11.03,3.20
2019-10-09 18:30:00,22.54,11.03,3.20
2019-10-09 18:31:00,22.59,11.02,3.20
2019-10-09 18:32:00,22.57,11.01,3.20
2019-10-09 18:33:00,22.59,11.01,3.20
2019-10-09 18:34:00,22.56,11.04,3.20
2019-10-09 18:35:00,22.57,11.02,3.20
2019-10-09 18:36:00,22.54,11.05,3.20
2019-10-09 18:37:00,22.55,11.04,3.20
2019-10-09 18:38:00,22.54,11.03,3.20
2019-10-09 18:39:00,22.52,11.04,3.20
2019-10-09 18:40:00,22.58,11.03,3.20
2019-10-09 18:41:00,22.54,11.02,3.20
2019-10-09 18:42:00,22.53,11.03,3.20
2019-10-09 18:43:00,22.53,11.03,3.20
2019-10-09 18:44:00,22.52,11.02,3.20
2019-10-09 18:45:00,22.48,11.02,3.20
2019-10-09 18:46:00,22.55,11.02,3.20
2019-10-09 18:47:00,22.51,11.01,3.20
2019-10-09 18:48:00,22.54,11.00,3.20
2019-10-09 18:49:00,22.56,10.97,3.20
2019-10-09 18:50:00,22.54,10.98,3.20
2019-10-09 18:51:00,22.55,10.96,3.20
2019-10-09 18:52:00,22.56,10.95,3.20
2019-10-09 18:53:00,22.54,10.95,3.20
2019-10-09 18:54:00,22.53,10.95,3.20
2019-10-09 18:55:00,22.49,10.92,3.20
2019-10-09 18:56:00,22.51,10.92,3.20
2019-10-09 18:57:00,22.48,10.95,3.20
2019-10-09 18:58:00,22.45,10.92,3.20
2019-10-09 18:59:00,22.48,10.93,3.20
2019-10-09 19:00:00,22.52,10.92,3.20
2019-10-09 19:01:00,22.45,10.91,3.20
2019-10-09 19:02:00,22.54,10.88,3.20
2019-10-09 19:03:00,22.49,10.89,3.20
2019-10-09 19:04:00,22.50,10.92,3.20
2019-10-09 19:05:00,22.48,10.91,3.20
2019-10-09 19:06:00,22.47,10.92,3.20
2019-10-09 19:07:00,22.49,10.89,3.20
2019-10-09 19:08:00,22.43,10.91,3.20
2019-10-09 19:09:00,22.47,10.87,3.20
2019-10-09 19:10:00,22.47,10.87,3.20
2019-10-09 19:11:00,22.44,10.90,3.20
2019-10-09 19:12:00,22.47,10.88,3.20
2019-10-09 19:13:00,22.47,10.87,3.20
2019-10-09 19:14:00,22.44,10.89,3.20
2019-10-09 19:15:00,22.44,10.88,3.20
2019-10-09 19:16:00,22.40,10.86,3.20
2019-10-09 19:17:00,22.44,10.83,3.20
2019-10-09 19:18:00,22.43,10.83,3.20
2019-10-09 19:19:00,22.46,10.75,3.20
2019-10-09 19:20:00,22.42,10.73,3.20
2019-10-09 19:21:00,22.43,10.72,3.20
2019-10-09 19:22:00,22.40,10.73,3.20
2019-10-09 19:23:00,22.44,10.72,3.20
2019-10-09 19:24:00,22.39,10.71,3.20
2019-10-09 19:25:00,22.45,10.71,3.20
2019-10-09 19:26:00,22.43,10.71,3.20
2019-10-09 19:27:00,22.44,10.68,3.20
2019-10-09 19:28:00,22.47,10.64,3.20
2019-10-09 19:29:00,22.39,10.67,3.20
2019-10-09 19:30:00,22.43,10.66,3.20
2019-10-09 19:31:00,22.39,10.66,3.20
2019-10-09 19:32:00,22.41,10.62,3.20
2019-10-09 19:33:00,22.40,10.61,3.20
2019-10-09 19:34:00,22.38,10.62,3.20
2019-10-09 19:35:00,22.40,10.58,3.20
2019-10-09 19:36:00,22.42,10.58,3.20
2019-10-09 19:37:00,22.36,10.60,3.20
2019-10-09 19:38:00,22.40,10.59,3.20
2019-10-09 19:39:00,22.33,10.62,3.20
2019-10-09 19:40:00,22.39,10.59,3.20
2019-10-09 19:41:00,22.41,10.58,3.20
2019-10-09 19:42:00,22.38,10.59,3.20
2019-10-09 19:43:00,22.41,10.58,3.20
2019-10-09 19:44:00,22.38,10.59,3.20
2019-10-09 19:45:00,22.37,10.59,3.20
2019-10-09 19:46:00,22.39,10.59,3.20
2019-10-09 19:47:00,22.39,10.61,3.20
2019-10-09 19:48:00,22.40,10.59,3.20
2019-10-09 19:49:00,22.39,10.60,3.20
2019-10-09 19:50:00,22.38,10.61,3.20
2019-10-09 19:51:00,22.38,10.59,3.20
2019-10-09 19:52:00,22.39,10.59,3.20
2019-10-09 19:53:00,22.40,10.59,3.20
2019-10-09 19:54:00,22.38,10.59,3.20
2019-10-09 19:55:00,22.36,10.59,3.20
2019-10-09 19:56:00,22.37,10.59,3.20
2019-10-09 19:57:00,22.36,10.61,3.20
2019-10-09 19:58:00,22.34,10.62,3.20
2019-10-09 19:59:00,22.33,10.62,3.20
2019-10-09 20:00:00,22.31,10.63,3.20
2019-10-09 20:01:00,22.34,10.61,3.20
2019-10-09 20:02:00,22.37,10.59,3.20
2019-10-09 20:03:00,22.37,10.59,3.20
2019-10-09 20:04:00,22.33,10.59,3.20
2019-10-09 20:05:00,22.30,10.58,3.20
2019-10-09 20:06:00,22.26,10.58,3.20
2019-10-09 20:07:00,22.25,10.58,3.20
2019-10-09 20:08:00,22.27,10.56,3.20
2019-10-09 20:09:00,22.22,10.58,3.20
2019-10-09 20:10:00,22.24,10.53,3.20
2019-10-09 20:11:00,22.23,10.54,3.20
2019-10-09 20:12:00,22.27,10.50,3.20
2019-10-09 20:13:00,22.24,10.49,3.20
2019-10-09 20:14:00,22.23,10.51,3.20
2019-10-09 20:15:00,22.23,10.47,3.20
2019-10-09 20:16:00,22.24,10.48,3.20
2019-10-09 20:17:00,22.22,10.51,3.20
2019-10-09 20:18:00,22.20,10.49,3.20
2019-10-09 20:19:00,22.23,10.46,3.20
2019-10-09 20:20:00,22.20,10.48,3.20
2019-10-09 20:21:00,22.16,10.52,3.20
2019-10-09 20:22:00,22.29,10.45,3.20
2019-10-09 20:23:00,22.20,10.48,3.20
2019-10-09 20:24:00,22.19,10.47,3.20
2019-10-09 20:25:00,22.19,10.47,3.20
2019-10-09 20:26:00,22.19,10.46,3.20
2019-10-09 20:27:00,22.18,10.42,3.20
2019-10-09 20:28:00,22.22,10.41,3.20
2019-10-09 20:29:00,22.19,10.40,3.20
2019-10-09 20:30:00,22.17,10.43,3.20
2019-10-09 20:31:00,22.17,10.39,3.20
2019-10-09 20:32:00,22.15,10.38,3.20
2019-10-09 20:33:00,22.15,10.37,3.20
2019-10-09 20:34:00,22.16,10.37,3.20
2019-10-09 20:35:00,22.16,10.38,3.20
2019-10-09 20:36:00,22.18,10.37,3.20
2019-10-09 20:37:00,22.12,10.38,3.20
